C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\Cortica.3_M2.xdf;03.10.19;11:54:33;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,02;0,57;0,02;-0,46;328,00;0,38;0,00;328,00;0,61;-0,01;328,00;-0,01;-0,01;328,00;-0,01;-0,01;328,00;0,72;328,00;-0,72
;0,02;-0,10;0,02;-1,36;332,00;0,38;0,00;332,00;0,63;-0,01;332,00;0,01;0,00;332,00;0,01;0,00;332,00;0,67;332,00;-0,67
;0,02;-2,13;0,02;-0,10;336,00;0,38;0,00;336,00;0,64;-0,01;336,00;-0,01;-0,00;336,00;-0,01;-0,00;336,00;0,61;336,00;-0,61
;0,02;-1,94;0,02;-0,64;340,00;0,39;0,00;340,00;0,65;-0,01;340,00;0,01;0,01;340,00;0,01;0,01;340,00;0,63;340,00;-0,63
;0,02;-0,24;0,02;0,21;344,00;0,39;0,00;344,00;0,66;-0,01;344,00;-0,01;-0,00;344,00;-0,01;-0,00;344,00;0,68;344,00;-0,68
;0,02;2,25;0,02;1,73;348,00;0,39;0,00;348,00;0,67;-0,01;348,00;0,01;0,00;348,00;0,01;0,00;348,00;0,70;348,00;-0,70
;0,02;3,64;0,02;1,25;352,00;0,39;0,00;352,00;0,68;-0,01;352,00;0,00;-0,01;352,00;0,00;-0,01;352,00;0,67;352,00;-0,67
;0,02;2,69;0,02;1,50;356,00;0,39;0,00;356,00;0,69;-0,01;356,00;-0,02;0,01;356,00;-0,02;0,01;356,00;0,63;356,00;-0,63
;0,02;0,13;0,02;1,33;360,00;0,39;0,00;360,00;0,70;-0,01;360,00;0,03;0,00;360,00;0,02;0,00;360,00;0,68;360,00;-0,68
;0,02;-0,73;0,02;0,90;364,00;0,39;0,00;364,00;0,72;-0,01;364,00;-0,02;-0,01;364,00;-0,02;-0,00;364,00;0,67;364,00;-0,67
